Step,FLOPs,CUDA Time (ms),CPU Time (ms),Memory (MB)
100,77604787672224,150392919.97721457,540028327.5167978,10143.9541015625
200,48282524347989,83158176.99626713,106456506.33628798,11028.82421875
300,79985843641410,153958618.3963855,173251467.34209067,11750.388671875
400,44843221281387,92260255.5467747,103033113.856767,12452.32763671875
500,57939029111910,101352480.91138442,136496498.41390377,11897.05859375
600,61422425807571,103820538.70319425,137228670.06464994,9951.4912109375
700,55117036852134,105440461.52692376,116105404.38020952,10410.9794921875
800,55822534917078,105835158.95424202,116507337.11406444,11054.7158203125
900,60055523306742,103044154.87754859,136829426.72901833,10104.0751953125
1000,84042457514838,157089745.4904658,175756232.2639857,10601.708984375
1100,52339138221417,104877086.63032494,116555961.90535541,10060.2578125
1200,79765375496115,153964856.17075446,174189543.8199497,9769.60791015625
1300,81881869690947,155762985.95701027,174984409.82209527,10082.5654296875
1400,55425692255547,105275957.20134148,116369725.13442284,10949.4248046875
1500,61554706694748,105226477.75240143,139527176.887115,12460.47314453125
1600,61686987581925,104090778.6394395,137242149.74291146,10367.63037109375
1700,51236797494942,102969000.41620372,114291681.17058414,11054.7158203125
1800,68918342747601,112662482.62702072,152558435.80018526,11988.04345703125
1900,65875882342530,106873421.2331033,143213501.772411,9878.66552734375
2000,64244418067347,105374538.65240382,142294616.96555886,9971.5556640625
2100,77869349446578,149167738.7602197,170351802.10376182,11059.89599609375
2200,58644527176854,101949319.74886717,137118782.15317014,11534.56005859375
2300,64685354357937,105634620.81410328,142638158.9071881,10107.54296875
2400,63583013631462,109868258.80107324,145807743.31702816,10143.9541015625
2500,41051169182313,90546147.63559586,102758530.58274455,11531.09228515625
2600,63186170969931,109321523.4030696,145603846.18373516,10066.6328125
2700,79280345576466,153693779.4693251,173961419.39567685,11527.62451171875
2800,65743601455353,106633261.50954238,143153556.44645292,11265.80126953125
2900,49913988623172,84195404.2568438,107986759.62274843,11928.1591796875
3000,58424059031559,101733629.28015845,137504712.22595674,10237.58642578125
3100,73548173798796,147087205.47608355,168336122.44908926,9772.97412109375
3200,61113770404158,103878226.24785152,137756322.72348696,12003.50732421875
3300,69756121699722,112736536.54110949,152298739.92878917,10362.42822265625
3400,72886769362911,115164894.35970119,155149336.99485654,10215.04638671875
3500,81705495174711,155060135.60531217,174732666.74764627,10994.302734375
3600,76855195978221,148654479.2251761,171026373.12979108,9805.84033203125
3700,67463252988654,108022455.24084426,144765191.70912457,10426.5849609375
3800,64288511696406,105270925.48837082,142671388.6670854,10364.16259765625
3900,56307564836727,106239832.22149937,116928478.4550658,11023.646484375
4000,63009796453695,109338948.89715287,146061930.8803571,10634.65576171875
4100,81661401545652,155005237.05120346,174811116.64766347,10509.8134765625
4200,62701141050282,109064872.70529926,145813150.0573015,10014.3173828125
4300,44931408539505,92047922.32537463,103607653.7032068,10634.65576171875
4400,62304298388751,108846887.69570619,145740935.28004098,11740.8974609375
4500,67816002021126,111311304.65484716,151303932.2726962,9739.95263671875
4600,65743601455353,106792545.44696225,143792101.53744185,10204.64306640625
4700,69447466296309,112539522.0319649,152209919.7964486,10658.93017578125
4800,48767554267638,83412333.61312139,107621640.9106426,9590.833984375
4900,77428413155988,149068775.5147971,171275941.71839917,10384.96923828125
5000,71608054120200,114528594.7371045,153862947.07291535,11921.2236328125
5100,60893302258863,103553893.20515686,137497606.88759226,10886.23046875
5200,54455632416249,105164440.27882923,116226989.30533408,11056.44140625
5300,54852475077780,104946308.20831846,116425942.05389552,9618.578125
5400,77957536704696,149546175.91149735,171334077.30959705,9436.51513671875
5500,76634727832926,148483539.73889825,170643754.55771303,11290.078125
5600,46474685556570,81625390.10864615,106460945.5234572,9724.3447265625
5700,67904189279244,111465211.76567197,151392447.92654392,10509.8134765625
5800,70064777103135,113003450.06698455,152451623.48527867,10506.345703125
5900,39199236761835,66886926.36327698,85560959.89035091,11265.80126953125
6000,57806748224733,101317858.28043972,137115047.32521254,11989.76123046875
6100,51633640156473,102865412.40640676,114827645.30140397,11982.88818359375
6200,67948282908303,111549266.3620517,151318394.88389957,10410.9794921875
6300,53794227980364,105022051.33521931,116561810.7317091,11028.82421875
6400,35980401840528,64596069.14484397,82433066.77200751,11740.8974609375
6500,56263471207668,105987557.68660404,117221145.5336228,11740.8974609375
6600,55381598626488,105730493.06391741,116702552.58969012,11534.56005859375
6700,49208490558228,83686988.2891192,107761355.73198777,10509.8134765625
6800,62877515566518,109225060.56989087,145606660.4512428,9182.119140625
6900,41051169182313,90296112.85961142,102784909.72872843,10636.38916015625
7000,49913988623172,84178854.32904407,108266909.237863,9802.37255859375
7100,77781162188460,149585366.70912322,171403669.39840683,9835.31591796875
7200,55513879513665,105725708.90721314,116808479.46418461,10014.3173828125
7300,65346758793822,106460700.63253453,143243411.84515053,11982.88818359375
7400,67904189279244,111539168.88720697,151409609.71124348,11921.2236328125
7500,62701141050282,108960172.70232052,145553475.0293835,10908.3173828125
7600,53132823544479,103898723.30779691,115668471.8760131,11527.62451171875
7700,64553073470760,105465153.29498939,142669329.81962788,9530.1474609375
7800,70990743313374,114048235.98305714,153166649.36708024,12003.50732421875
7900,68786061860424,112097091.55012497,151578462.1450873,11989.76123046875
8000,51280891124001,102550934.13190483,114543032.87537834,11265.80126953125
8100,56483939352963,100375585.50033037,136371700.86550125,10367.63037109375
8200,60055523306742,103085742.88040674,137265048.70440668,10646.79248046875
8300,72004896781731,115163319.30945665,154714868.50570023,10410.9794921875
8400,39860641197720,89924848.24367991,102478265.21847217,9971.5556640625
8500,55161130481193,105280894.6943214,116498178.24846378,10364.16259765625
8600,76149697913277,148289787.9056382,169277018.2387758,9772.97412109375
8700,56483939352963,100354130.84932502,136451948.6372886,11446.1298828125
8800,74077297347504,147342882.8481993,168537829.03833428,12460.47314453125
8900,70726181539020,113853285.53911865,153004659.8930071,9550.9541015625
9000,39948828455838,89992167.70436183,102503527.62593512,9932.41552734375
9100,58115403628146,101542284.9460964,136961900.5553936,11054.7158203125
9200,73459986540678,146862829.13565034,168137898.44767982,10143.9541015625
9300,53573759835069,104539266.3478398,115638011.39101967,11749.56640625
9400,85850296306257,147711140.73350677,193403966.54104605,10084.1591796875
9500,82763742272127,156651086.9403159,176667066.19256693,9594.3017578125
9600,44710940394210,91816902.4207325,103523387.62483937,10137.0185546875
9700,59438212499916,102734768.3886611,136878962.1827435,10634.65576171875
9800,70285245248430,113045154.53664075,152303187.5093261,9830.11474609375
9900,69315185409132,112450969.67083818,151933830.9404948,10994.302734375
10000,42770820715614,91680116.25543253,103049488.37407303,10414.447265625
10100,60231897822978,103383580.70561175,137473577.30886036,12451.80419921875
10200,67198691214300,107659273.48620473,144331245.03516293,10093.71875
10300,73239518395383,115386691.93617244,155232333.75659743,10634.65576171875
10400,78089817591873,149666087.28981346,171401332.7765415,10417.9150390625
10500,75973323397041,148316823.90656096,168885354.77240726,10601.708984375
10600,49296677816346,83855822.95820141,107956505.59815176,10424.8505859375
10700,62083830243456,104475998.124879,136869338.10424525,11897.05859375
10800,55822534917078,105688034.79864421,117006395.09628098,11023.646484375
10900,48062056202694,83038350.3232932,107537320.0016414,10407.51171875
11000,71784428636436,114678829.0010525,153370244.9799738,11531.09228515625
11100,66625474036533,107309590.62110053,144033772.1220224,10645.05908203125
11200,93566681391582,156428430.96651202,211698390.8316931,11265.80126953125
11300,64420792583583,106447701.11915727,144851025.5536962,11023.646484375
11400,56792594756376,100516799.7660793,136586391.82508636,10417.9150390625
11500,59438212499916,103671732.06153858,139384162.7304965,9712.2080078125
11600,64112137180170,110546210.53614773,147078031.74505824,9824.91259765625
11700,84483393805428,158032205.64159885,176937702.4885972,10362.42822265625
11800,51810014672709,103396017.88444065,115098027.34889984,10509.8134765625
11900,53529666206010,104065809.35181561,115580760.45032081,11054.7158203125
12000,72534020330439,115111357.39128822,155545555.07239255,11056.44140625
12100,31747413450864,56527491.72881928,71606255.1028093,11928.1591796875
12200,75135544444920,147956696.74106643,166892328.30047682,9916.81103515625
12300,67419159359595,107867845.47219773,144504414.04226494,10908.3173828125
12400,93346213246287,155997797.41251647,211147214.40649244,9622.0458984375
12500,53397385318833,103764082.22238168,115340847.22591159,11265.80126953125
12600,62392485646869,108793108.07212386,145449311.65056002,10613.84912109375
12700,60584646855450,103342808.67368856,137202920.94760495,10365.89599609375
12800,55998909433314,105882292.54722716,117183058.74029675,9739.95263671875
12900,56263471207668,106161522.08897023,117156986.71423773,10093.71875
13000,57586280079438,101080925.89184956,136784147.64977205,9953.224609375
13100,54323351529072,105030339.62587297,116214833.99572185,10417.9150390625
13200,55734347658960,105732355.41403419,117238142.19089778,11989.76123046875
13300,55513879513665,105551628.4780068,117179213.34643966,12003.50732421875
13400,86026670822493,148659480.6019345,195566696.24742076,11740.8974609375
13500,77869349446578,149505547.05923826,171487935.4071176,10886.23046875
13600,60761021371686,103591181.20086223,137473940.36557648,11023.646484375
13700,64905822503232,14172536.147653997,142894325.50465503,9835.31591796875
13800,56660313869199,14719227.94897818,135952405.04399142,10204.64306640625
13900,82499180497773,42846918.047093794,175609887.0660177,10407.51171875
14000,67816002021126,14930371.194569461,151750891.86167052,10612.1123046875
