Step,FLOs,CUDA Time (ms),CPU Time (ms),Memory (MB)
50,155209574140224,288960175.32869637,235123433.44411814,15583.15673828125
100,258212291173536,480920405.7692212,1050437277.0712205,17608.05224609375
150,159971686057860,267287032.4919403,252538314.48490703,19261.24462890625
200,89686441643862,172965414.13262844,142300347.53685683,20869.40673828125
250,144715290469878,272398528.35741925,219841212.33983988,19597.24169921875
300,132545448902586,253838127.2470623,207216354.77719355,15140.38427734375
350,123638535871452,234836375.98695183,191231579.42699802,16193.02783203125
400,123197599582782,234231548.89301366,190835585.96672046,17666.72900390625
450,120111045562092,229883948.67453977,188372469.9207575,15489.93994140625
500,168084913769388,269255105.29866254,255060989.68793684,16629.97314453125
550,104678275458642,170994422.32995054,165863863.98680946,15384.68798828125
600,159530749769190,262407857.45396015,250065230.2145974,14723.29638671875
650,163763738140422,267366479.14977473,252558309.98675275,15438.98876953125
700,122403914263176,233944966.5136876,191209081.90681082,17424.42431640625
750,123109412325048,233393617.3059799,190411463.3719544,20888.87255859375
800,123373974098250,234558110.4879556,191603611.47444186,16093.72119140625
850,117465427830072,219202012.67904928,176534154.09552315,17666.72900390625
900,137836684366626,262569426.93467826,213932295.2202891,19803.79736328125
950,131751763582980,252788681.52765244,207196068.57181954,14973.54833984375
1000,161735431212540,266146019.87260634,252780580.7124867,15184.76513671875
1050,155738697686628,294540970.662166,238145844.19153136,17678.64794921875
1100,142157859995592,271427723.3360724,220537171.4484039,18767.04150390625
1150,140305927583178,266373085.54423788,215903541.7126815,15497.88427734375
1200,127166026180812,240215869.37900388,195972798.77298966,15582.22900390625
1250,118170925891944,217522390.25638703,175373066.16328296,18759.09716796875
1300,126372340861206,239701564.3869409,195682372.49358475,15400.20458984375
1350,165615670552836,278299332.22914803,258149301.5615778,18751.15283203125
1400,157502442841308,295738321.2633278,239397755.74363115,18151.34326171875
1450,99827976283272,161636247.59598058,156549484.37488174,19668.74072265625
1500,134573755830468,254762077.8003773,207378524.88453883,15796.67822265625
1550,147096346428696,284785743.0185257,232270082.4890283,14731.24072265625
1600,161206307666136,264830865.67212138,251728890.8606256,19840.11083984375
1650,139512242263572,263491879.26383984,213721475.08173615,16081.80419921875
1700,145773537562686,274843503.70372254,221923059.01923916,15744.16357421875
1750,163410989109486,267942612.94034946,250471946.99040273,17527.70068359375
1800,164204674429092,276344953.81447726,256756629.472329,14806.71435546875
1850,134926504861404,256914138.65031734,209106364.61229753,16228.77783203125
1900,128577022304556,241682609.20328104,196267218.5024451,16085.77685546875
1950,112791503170170,213928722.69727826,174430301.49421686,17595.22998046875
2000,165792045068304,274589656.0040417,255233390.16375273,16705.44775390625
2050,163322801851752,273501411.22230893,254605765.87693334,16419.44677734375
2100,125402281026132,239974765.26030016,196245224.88466176,15283.38427734375
2150,158296128160914,260103413.28349504,248953407.3733167,16705.44775390625
2200,124608595706526,239525290.08594272,195905463.2094103,19239.73974609375
2250,135632002923276,261965257.82697618,213108150.2792971,14655.77001953125
2300,157414255583574,295605521.6724096,239079174.94205132,15720.33056640625
2350,138894931459434,261105386.924236,212130069.39303073,16761.05810546875
2400,136954811789286,260758024.50121182,212453318.2050303,14314.15576171875
2450,154856825109288,293342681.45964694,237833312.63590264,16133.44287109375
2500,153093079954608,294312331.24047124,238951763.61771423,19652.85205078125
2550,122403914263176,235030232.6811012,192312224.25249633,17273.47705078125
2600,108911263829874,180771977.1351615,172299829.91559795,17670.70068359375
2650,118082738634210,219899767.85513917,176859000.2019867,14377.71337890625
2700,155915072202096,291102876.1732978,236099191.3053565,13960.62548828125
2750,153269454470076,290148609.4808313,235620116.02706817,18206.95654296875
2800,92949370180020,153784490.91357446,151584227.8596272,14620.01708984375
2850,161911805728008,266916642.58451855,253352029.10835502,16419.44677734375
2900,140129553067710,265311398.47676188,214929045.12713307,16411.50244140625
2950,136954811789286,259260107.62445357,211434401.7142618,18151.34326171875
3000,137131186304754,262365233.70027044,213287513.27821314,19807.76904296875
3050,103267279334898,167691207.9676661,163698816.5987001,19791.88037109375
3100,135896564696478,262931486.2510083,214256348.34537226,16193.02783203125
3150,122933037809580,234997864.18552732,192185744.67293087,17607.14599609375
3200,135984751954212,262740352.74399146,213896196.6477678,19239.73974609375
3250,129458894881896,242616252.1332852,197147720.12101573,19239.73974609375
3300,283962970431864,527005267.7169894,431824151.86554134,18767.04150390625
3350,163410989109486,275234050.0275743,255624326.78590977,16419.44677734375
3400,139688616779040,262993993.633562,213343700.33512956,13376.70751953125
