Step,FLOPs,CUDA Time (ms),CPU Time (ms),Memory (MB)
10,155738697686628,29665589.6207873,2640661632.0769415,14620.76708984375
20,127078738923078,241255412.7928897,194619378.10912207,14636.74462890625
30,129811643912832,242888743.10849366,195687112.53671658,11975.28564453125
40,132208887129384,255666646.17410246,206272143.3797944,13325.06591796875
50,155299574140224,287935236.4766666,232826226.78740275,15583.15673828125
60,146831784655494,283076138.1080522,230425974.8184832,13305.20556640625
70,168084913769388,271884510.2041833,256294944.26783514,13920.9830859375
80,140686992842612,268638386.06164187,225261973.4621113,14175.12744140625
90,129653269937364,239913722.8390642,194767868.54983324,15466.13818359375
100,258212393825648,480625680.788824,1046391823.575536,17608.05224609375
110,1110568812438546,241494673.04663733,196456726.20104712,13333.01025390625
120,111556881561894,211270568.0405064,1728555119.87285554,14345.93310546875
130,10829953025736,178382343.12303728,169942837.720865,13869.26611328125
140,118082738634210,218396214.5562198,175335508.7112985,13344.92724609375
150,155976586058760,267815634.8056123,253384743.869774,19261.24462890625
160,279465422887340,517523725.8380237,4350373.687849,18564.42578125
170,156602567368968,294552605.0019371,234875982.44127592,13927.26123046875
180,12968797418252,267141634.2078446,205066221.6655922,13971.005859375
190,123135764810038,233862274.3705488,201274198.33684212,13222.73779296875
200,896846441643862,172588227.6857962,142019742.13640764,20869.40673828125
